COMUNA,TIPO DE ACCIDENTE,GRAVEDAD,MES,DIA SEMANA,NUMERO ACCIDENTE
Corregimiento de Altavista,Choque,SOLO DANOS,01,JUEVES   ,0
0,Choque,HERIDO,03,MARTES   ,0
Villa Hermosa,Choque,HERIDO,07,DOMINGO  ,10
Corregimiento de San Cristobal,Choque,HERIDO,09,DOMINGO  ,1
Corregimiento de San Cristobal,Atropello,HERIDO,03,MIERCOLES,0
Guayabal,Caida ocupante,HERIDO,11,MARTES   ,8
La America,Atropello,MUERTO,02,LUNES    ,0
Belen,Caida ocupante,HERIDO,05,SABADO   ,4
Corregimiento de San Antonio de Prado,Choque,HERIDO,08,VIERNES  ,1
In,Choque,SOLO DANOS,12,JUEVES   ,0
Buenos Aires,Volcamiento,HERIDO,01,DOMINGO  ,2
San Javier,Volcamiento,HERIDO,02,LUNES    ,2
Villa Hermosa,Otro,HERIDO,05,JUEVES   ,1
La Candelaria,Atropello,HERIDO,02,DOMINGO  ,15
Corregimiento de Santa Elena,Choque,HERIDO,09,MARTES   ,0
Aranjuez,Volcamiento,HERIDO,07,DOMINGO  ,5
Villa Hermosa,Caida ocupante,HERIDO,07,MARTES   ,0
La Candelaria,Caida ocupante,HERIDO,09,LUNES    ,17
Villa Hermosa,Choque,HERIDO,10,VIERNES  ,12
Popular,Choque,HERIDO,12,DOMINGO  ,3
Guayabal,Caida ocupante,HERIDO,08,LUNES    ,8
Castilla,Otro,HERIDO,04,MIERCOLES,20
Otro,Otro,HERIDO,02,VIERNES  ,1
San Javier,Otro,HERIDO,06,VIERNES  ,2
Corregimiento de Santa Elena,Choque,SOLO DANOS,08,LUNES    ,1
Doce de Octubre,Otro,HERIDO,07,DOMINGO  ,8
Castilla,Volcamiento,HERIDO,04,MIERCOLES,7
Robledo,Atropello,HERIDO,03,JUEVES   ,5
La Candelaria,Choque,SOLO DANOS,09,LUNES    ,201
Doce de Octubre,Caida ocupante,HERIDO,08,VIERNES  ,5
Popular,Choque,SOLO DANOS,11,VIERNES  ,3
Aranjuez,Volcamiento,HERIDO,10,VIERNES  ,0
Manrique,Volcamiento,HERIDO,04,DOMINGO  ,1
El Poblado,Caida ocupante,HERIDO,05,MIERCOLES,6
Villa Hermosa,Caida ocupante,HERIDO,11,JUEVES   ,4
Castilla,Choque,HERIDO,12,DOMINGO  ,27
Santa Cruz,Atropello,HERIDO,01,DOMINGO  ,3
Manrique,Atropello,HERIDO,06,MARTES   ,8
Santa Cruz,Choque,HERIDO,07,MIERCOLES,0
Buenos Aires,Atropello,HERIDO,05,DOMINGO  ,7
Corregimiento de San Cristobal,Caida ocupante,HERIDO,06,MIERCOLES,0
Robledo,Atropello,HERIDO,09,SABADO   ,6
Guayabal,Caida ocupante,HERIDO,04,JUEVES   ,3
Belen,Caida ocupante,HERIDO,11,MARTES   ,4
El Poblado,Choque,SOLO DANOS,06,VIERNES  ,88
San Javier,Atropello,HERIDO,08,DOMINGO  ,3
Santa Cruz,Choque,SOLO DANOS,09,DOMINGO  ,3
Laureles Estadio,Choque,HERIDO,09,LUNES    ,38
Belen,Volcamiento,HERIDO,01,VIERNES  ,1
Corregimiento de Santa Elena,Choque,SOLO DANOS,04,JUEVES   ,0
Doce de Octubre,Otro,HERIDO,10,VIERNES  ,2
In,Caida ocupante,HERIDO,12,MIERCOLES,0
Caribe,Atropello,MUERTO,04,DOMINGO  ,1
Laureles Estadio,Otro,HERIDO,12,JUEVES   ,16
La America,Choque,SOLO DANOS,01,SABADO   ,27
La Candelaria,Choque,SOLO DANOS,05,JUEVES   ,188
Popular,Choque,SOLO DANOS,02,MIERCOLES,4
Corregimiento de Altavista,Caida ocupante,MUERTO,09,JUEVES   ,0
Corregimiento de San Cristobal,Otro,HERIDO,08,JUEVES   ,1
Guayabal,Choque,HERIDO,05,LUNES    ,25
Laureles Estadio,Caida ocupante,HERIDO,02,LUNES    ,9
Castilla,Otro,SOLO DANOS,08,SABADO   ,0
Villa Hermosa,Atropello,HERIDO,07,DOMINGO  ,4
El Poblado,Volcamiento,HERIDO,07,VIERNES  ,1
Manrique,Otro,HERIDO,12,VIERNES  ,0
Manrique,Atropello,HERIDO,10,JUEVES   ,12
Buenos Aires,Atropello,MUERTO,08,MIERCOLES,0
Popular,Caida ocupante,HERIDO,08,JUEVES   ,1
Corregimiento de San Cristobal,Choque,HERIDO,04,MIERCOLES,5
Guayabal,Choque,SOLO DANOS,01,JUEVES   ,50
La America,Volcamiento,HERIDO,05,MARTES   ,1
Robledo,Choque,HERIDO,05,MIERCOLES,28
Guayabal,Otro,HERIDO,09,JUEVES   ,9
Santa Cruz,Choque,HERIDO,02,LUNES    ,2
Popular,Choque,HERIDO,04,VIERNES  ,1
La Candelaria,Volcamiento,HERIDO,06,MIERCOLES,8
Popular,Atropello,HERIDO,06,DOMINGO  ,4
Buenos Aires,Choque,SOLO DANOS,07,LUNES    ,19
San Javier,Atropello,HERIDO,11,VIERNES  ,6
Corregimiento de San Cristobal,Caida ocupante,HERIDO,01,LUNES    ,2
Robledo,Volcamiento,HERIDO,01,SABADO   ,1
La Candelaria,Choque,HERIDO,05,DOMINGO  ,38
Castilla,Atropello,HERIDO,09,DOMINGO  ,9
Guayabal,Choque,SOLO DANOS,07,SABADO   ,64
Guayabal,Choque,HERIDO,01,JUEVES   ,24
La America,Atropello,HERIDO,12,VIERNES  ,5
La America,Otro,HERIDO,02,SABADO   ,3
El Poblado,Volcamiento,HERIDO,10,MIERCOLES,2
Corregimiento de San Cristobal,Choque,SOLO DANOS,02,DOMINGO  ,1
Manrique,Otro,HERIDO,03,MIERCOLES,8
La America,Atropello,MUERTO,10,MARTES   ,0
La America,Choque,HERIDO,05,VIERNES  ,13
Robledo,Otro,HERIDO,06,VIERNES  ,13
Castilla,Choque,HERIDO,04,VIERNES  ,50
Doce de Octubre,Choque,SOLO DANOS,04,DOMINGO  ,4
Popular,Otro,HERIDO,09,MIERCOLES,1
Castilla,Otro,HERIDO,01,SABADO   ,12
Aranjuez,Choque,HERIDO,03,SABADO   ,20
Guayabal,Choque,HERIDO,07,SABADO   ,24
Laureles Estadio,Caida ocupante,HERIDO,04,SABADO   ,5
Santa Cruz,Otro,HERIDO,09,DOMINGO  ,2
Belen,Caida ocupante,HERIDO,04,JUEVES   ,6
Buenos Aires,Caida ocupante,HERIDO,01,MARTES   ,1
La America,Choque,SOLO DANOS,09,MIERCOLES,18
Aranjuez,Otro,HERIDO,01,DOMINGO  ,6
La Candelaria,Volcamiento,HERIDO,01,LUNES    ,1
La America,Atropello,HERIDO,03,MIERCOLES,6
Otro,Caida ocupante,MUERTO,09,LUNES    ,0
Corregimiento de San Cristobal,Caida ocupante,HERIDO,03,SABADO   ,2
Doce de Octubre,Choque,HERIDO,04,MARTES   ,6
Doce de Octubre,Choque,HERIDO,12,LUNES    ,5
Corregimiento de San Sebastian de Palmitas,Choque,SOLO DANOS,01,JUEVES   ,0
La Candelaria,Otro,SOLO DANOS,09,MARTES   ,0
Santa Cruz,Choque,SOLO DANOS,04,MIERCOLES,8
Buenos Aires,Volcamiento,HERIDO,06,DOMINGO  ,2
Aranjuez,Caida ocupante,HERIDO,01,MARTES   ,7
Belen,Choque,SOLO DANOS,12,JUEVES   ,50
La Candelaria,Atropello,HERIDO,07,DOMINGO  ,10
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,12,SABADO   ,4
Robledo,Otro,SOLO DANOS,10,MARTES   ,0
El Poblado,Otro,HERIDO,08,LUNES    ,5
La America,Choque,SOLO DANOS,04,LUNES    ,17
Corregimiento de San Cristobal,Choque,HERIDO,01,SABADO   ,2
Villa Hermosa,Atropello,HERIDO,02,MIERCOLES,7
Corregimiento de San Cristobal,Volcamiento,SOLO DANOS,07,DOMINGO  ,0
Guayabal,Choque,MUERTO,12,DOMINGO  ,1
Robledo,Choque,HERIDO,02,SABADO   ,31
Buenos Aires,Caida ocupante,HERIDO,11,SABADO   ,1
San Javier,Choque,HERIDO,09,DOMINGO  ,6
Castilla,Otro,HERIDO,09,MIERCOLES,27
Otro,Otro,HERIDO,07,VIERNES  ,0
Corregimiento de San Cristobal,Atropello,HERIDO,03,LUNES    ,2
Popular,Atropello,HERIDO,01,MIERCOLES,6
Manrique,Choque,SOLO DANOS,12,JUEVES   ,7
Castilla,Volcamiento,HERIDO,09,MIERCOLES,5
Robledo,Atropello,HERIDO,08,JUEVES   ,9
Corregimiento de Altavista,Atropello,HERIDO,12,MIERCOLES,0
Laureles Estadio,Caida ocupante,HERIDO,10,MARTES   ,19
La Candelaria,Atropello,HERIDO,10,VIERNES  ,38
Aranjuez,Atropello,MUERTO,03,MARTES   ,0
Castilla,Atropello,HERIDO,04,MIERCOLES,7
Aranjuez,Atropello,MUERTO,11,LUNES    ,0
Robledo,Caida ocupante,HERIDO,11,MARTES   ,14
Robledo,Volcamiento,HERIDO,04,LUNES    ,5
El Chagualo,Choque,MUERTO,07,JUEVES   ,0
Corregimiento de San Cristobal,Volcamiento,HERIDO,10,MIERCOLES,0
Santa Cruz,Atropello,HERIDO,06,DOMINGO  ,3
Laureles Estadio,Otro,HERIDO,03,DOMINGO  ,11
Aranjuez,Caida ocupante,HERIDO,11,SABADO   ,3
Guayabal,Caida ocupante,HERIDO,09,JUEVES   ,10
Belen,Volcamiento,HERIDO,06,VIERNES  ,0
Corregimiento de Santa Elena,Choque,SOLO DANOS,09,JUEVES   ,2
Castilla,Choque,SOLO DANOS,10,SABADO   ,89
La America,Choque,SOLO DANOS,06,SABADO   ,30
Popular,Caida ocupante,HERIDO,11,DOMINGO  ,3
Popular,Choque,SOLO DANOS,07,MIERCOLES,7
Castilla,Otro,HERIDO,04,LUNES    ,19
Corregimiento de San Antonio de Prado,Atropello,HERIDO,12,MIERCOLES,1
Corregimiento de Altavista,Caida ocupante,HERIDO,09,LUNES    ,0
Manrique,Volcamiento,HERIDO,12,VIERNES  ,2
Castilla,Volcamiento,HERIDO,04,LUNES    ,1
La Candelaria,Atropello,MUERTO,05,LUNES    ,0
Corregimiento de San Cristobal,Atropello,HERIDO,05,SABADO   ,3
Corregimiento de San Cristobal,Choque,HERIDO,09,MIERCOLES,1
Guayabal,Choque,SOLO DANOS,06,JUEVES   ,51
La America,Otro,HERIDO,01,JUEVES   ,2
Santa Cruz,Choque,HERIDO,07,LUNES    ,2
San Javier,Caida ocupante,HERIDO,12,DOMINGO  ,1
Robledo,Volcamiento,HERIDO,06,SABADO   ,1
Aranjuez,Choque,HERIDO,02,JUEVES   ,26
Belen,Atropello,MUERTO,03,LUNES    ,0
Guayabal,Choque,HERIDO,06,JUEVES   ,22
Corregimiento de San Antonio de Prado,Caida ocupante,HERIDO,03,SABADO   ,0
Laureles Estadio,Caida ocupante,HERIDO,03,JUEVES   ,16
Doce de Octubre,Caida ocupante,HERIDO,03,MARTES   ,7
Corregimiento de San Cristobal,Choque,SOLO DANOS,07,DOMINGO  ,1
Manrique,Otro,HERIDO,08,MIERCOLES,5
Popular,Choque,SOLO DANOS,02,LUNES    ,5
Castilla,Choque,HERIDO,09,VIERNES  ,48
Robledo,Caida ocupante,HERIDO,04,JUEVES   ,12
Doce de Octubre,Choque,SOLO DANOS,09,DOMINGO  ,11
Santa Cruz,Atropello,MUERTO,04,LUNES    ,0
Castilla,Otro,HERIDO,06,SABADO   ,15
Belen,Otro,HERIDO,12,VIERNES  ,14
San Javier,Choque,HERIDO,04,MIERCOLES,9
Corregimiento de San Cristobal,Choque,HERIDO,04,LUNES    ,1
Laureles Estadio,Caida ocupante,HERIDO,09,SABADO   ,12
Corregimiento de San Cristobal,Caida ocupante,HERIDO,02,JUEVES   ,2
Belen,Caida ocupante,HERIDO,09,JUEVES   ,9
Buenos Aires,Caida ocupante,HERIDO,06,MARTES   ,6
Robledo,Choque,HERIDO,05,LUNES    ,28
Manrique,Otro,SOLO DANOS,02,JUEVES   ,0
Castilla,Atropello,HERIDO,01,SABADO   ,10
La Candelaria,Volcamiento,HERIDO,06,LUNES    ,9
Popular,Caida ocupante,HERIDO,03,VIERNES  ,3
La America,Atropello,HERIDO,08,MIERCOLES,7
La America,Choque,SOLO DANOS,12,MARTES   ,18
Santa Cruz,Choque,HERIDO,09,SABADO   ,1
Doce de Octubre,Choque,HERIDO,09,MARTES   ,7
Corregimiento de San Cristobal,Caida ocupante,HERIDO,08,SABADO   ,3
El Poblado,Volcamiento,HERIDO,02,MARTES   ,2
Belen,Choque,SOLO DANOS,03,DOMINGO  ,21
Corregimiento de San Cristobal,Atropello,HERIDO,11,MARTES   ,2
El Poblado,Volcamiento,HERIDO,10,LUNES    ,0
Corregimiento de San Antonio de Prado,Choque,SOLO DANOS,11,JUEVES   ,5
Aranjuez,Caida ocupante,MUERTO,05,DOMINGO  ,0
Manrique,Otro,HERIDO,03,LUNES    ,9
Belen,Otro,HERIDO,03,MIERCOLES,16
Villa Hermosa,Choque,SOLO DANOS,11,VIERNES  ,14
Popular,Otro,HERIDO,09,LUNES    ,1
San Javier,Caida ocupante,HERIDO,04,VIERNES  ,3
Santa Cruz,Choque,SOLO DANOS,09,MIERCOLES,3
Santa Cruz,Otro,HERIDO,01,SABADO   ,0
Aranjuez,Caida ocupante,HERIDO,06,MARTES   ,3
Robledo,Choque,HERIDO,01,JUEVES   ,19
Guayabal,Atropello,HERIDO,10,SABADO   ,5
Buenos Aires,Caida ocupante,HERIDO,10,JUEVES   ,2
Otro,Volcamiento,HERIDO,07,LUNES    ,0
